match_number,season,city,venue,gender,match_type,toss_winner,toss_decision,teams,team,over,ballno,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,legbyes,wides,noballs,byes
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,1,1,SC Ganguly,P Kumar,BB McCullum,0,1,1,1,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,1,2,BB McCullum,P Kumar,SC Ganguly,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,1,3,BB McCullum,P Kumar,SC Ganguly,0,1,1,0,1,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,1,4,BB McCullum,P Kumar,SC Ganguly,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,1,5,BB McCullum,P Kumar,SC Ganguly,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,1,6,BB McCullum,P Kumar,SC Ganguly,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,2,7,BB McCullum,P Kumar,SC Ganguly,0,1,1,1,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,2,8,BB McCullum,Z Khan,SC Ganguly,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,2,9,BB McCullum,Z Khan,SC Ganguly,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,2,10,BB McCullum,Z Khan,SC Ganguly,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,2,11,BB McCullum,Z Khan,SC Ganguly,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,2,12,BB McCullum,Z Khan,SC Ganguly,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,3,13,BB McCullum,Z Khan,SC Ganguly,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,3,14,SC Ganguly,P Kumar,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,3,15,SC Ganguly,P Kumar,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,3,16,SC Ganguly,P Kumar,BB McCullum,0,1,1,1,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,3,17,BB McCullum,P Kumar,SC Ganguly,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,3,18,BB McCullum,P Kumar,SC Ganguly,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,4,19,SC Ganguly,P Kumar,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,4,20,BB McCullum,AA Noffke,SC Ganguly,0,5,5,0,5,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,4,21,BB McCullum,AA Noffke,SC Ganguly,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,4,22,BB McCullum,AA Noffke,SC Ganguly,0,1,1,1,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,4,23,SC Ganguly,AA Noffke,BB McCullum,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,4,24,SC Ganguly,AA Noffke,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,5,25,SC Ganguly,AA Noffke,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,5,26,BB McCullum,AA Noffke,SC Ganguly,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,5,27,SC Ganguly,P Kumar,BB McCullum,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,5,28,SC Ganguly,P Kumar,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,5,29,BB McCullum,P Kumar,SC Ganguly,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,5,30,BB McCullum,P Kumar,SC Ganguly,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,6,31,BB McCullum,P Kumar,SC Ganguly,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,6,32,SC Ganguly,P Kumar,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,6,33,BB McCullum,Z Khan,SC Ganguly,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,6,34,SC Ganguly,Z Khan,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,6,35,RT Ponting,Z Khan,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,6,36,RT Ponting,Z Khan,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,7,37,RT Ponting,Z Khan,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,7,38,RT Ponting,Z Khan,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,7,39,BB McCullum,AA Noffke,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,7,40,RT Ponting,AA Noffke,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,7,41,BB McCullum,AA Noffke,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,7,42,RT Ponting,AA Noffke,BB McCullum,2,0,2,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,8,43,RT Ponting,AA Noffke,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,8,44,BB McCullum,AA Noffke,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,8,45,BB McCullum,Z Khan,RT Ponting,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,8,46,BB McCullum,Z Khan,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,8,47,RT Ponting,Z Khan,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,8,48,BB McCullum,Z Khan,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,9,49,RT Ponting,Z Khan,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,9,50,BB McCullum,Z Khan,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,9,51,BB McCullum,JH Kallis,RT Ponting,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,9,52,BB McCullum,JH Kallis,RT Ponting,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,9,53,BB McCullum,JH Kallis,RT Ponting,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,9,54,BB McCullum,JH Kallis,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,10,55,RT Ponting,JH Kallis,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,10,56,BB McCullum,JH Kallis,RT Ponting,2,0,2,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,10,57,RT Ponting,SB Joshi,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,10,58,BB McCullum,SB Joshi,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,10,59,RT Ponting,SB Joshi,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,10,60,BB McCullum,SB Joshi,RT Ponting,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,11,61,BB McCullum,SB Joshi,RT Ponting,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,11,62,BB McCullum,SB Joshi,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,11,63,BB McCullum,JH Kallis,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,11,64,RT Ponting,JH Kallis,BB McCullum,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,11,65,RT Ponting,JH Kallis,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,11,66,RT Ponting,JH Kallis,BB McCullum,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,12,67,RT Ponting,JH Kallis,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,12,68,RT Ponting,JH Kallis,BB McCullum,0,4,4,0,0,0,4
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,12,69,BB McCullum,SB Joshi,RT Ponting,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,12,70,BB McCullum,SB Joshi,RT Ponting,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,12,71,BB McCullum,SB Joshi,RT Ponting,2,0,2,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,12,72,BB McCullum,SB Joshi,RT Ponting,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,13,73,RT Ponting,SB Joshi,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,13,74,RT Ponting,SB Joshi,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,13,75,RT Ponting,JH Kallis,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,13,76,BB McCullum,JH Kallis,DJ Hussey,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,13,77,BB McCullum,JH Kallis,DJ Hussey,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,13,78,BB McCullum,JH Kallis,DJ Hussey,2,0,2,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,14,79,BB McCullum,JH Kallis,DJ Hussey,0,1,1,0,1,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,14,80,BB McCullum,JH Kallis,DJ Hussey,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,14,81,BB McCullum,JH Kallis,DJ Hussey,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,14,82,BB McCullum,SB Joshi,DJ Hussey,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,14,83,DJ Hussey,SB Joshi,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,14,84,DJ Hussey,SB Joshi,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,15,85,BB McCullum,SB Joshi,DJ Hussey,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,15,86,DJ Hussey,SB Joshi,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,15,87,BB McCullum,SB Joshi,DJ Hussey,2,0,2,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,15,88,DJ Hussey,CL White,BB McCullum,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,15,89,DJ Hussey,CL White,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,15,90,BB McCullum,CL White,DJ Hussey,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,16,91,BB McCullum,CL White,DJ Hussey,4,0,4,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,16,92,BB McCullum,CL White,DJ Hussey,0,2,2,0,2,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,16,93,DJ Hussey,CL White,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,16,94,BB McCullum,CL White,DJ Hussey,6,0,6,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,16,95,DJ Hussey,AA Noffke,BB McCullum,0,0,0,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,16,96,DJ Hussey,AA Noffke,BB McCullum,1,0,1,0,0,0,0
1,2007/08,Bangalore,M Chinnaswamy Stadium,male,T20,Royal Challengers Bangalore,field,"Royal Challengers Bangalore,Kolkata Knight Riders",Kolkata Knight Riders,17,97,BB McCullum,AA Noffke,DJ Hussey,2,0,2,0,0,0,0
