match_number,season,city,venue,gender,umpires,winner,player_of_match,match_type,toss_winner,toss_decision,teams,team,over,ballno,batter,bowler,non_striker,runs_batter,runs_extras,legbyes,wides,noballs,byes,kind,player_out,fielders,runs_total
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,1,1,L Ronchi,P Kumar,ST Jayasuriya,0,0,0,0,0,0,-,-,,0
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,1,2,L Ronchi,P Kumar,ST Jayasuriya,4,0,0,0,0,0,-,-,,4
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,1,3,L Ronchi,P Kumar,ST Jayasuriya,0,0,0,0,0,0,-,-,,0
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,1,4,L Ronchi,P Kumar,ST Jayasuriya,0,0,0,0,0,0,-,-,,0
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,1,5,L Ronchi,P Kumar,ST Jayasuriya,4,0,0,0,0,0,-,-,,4
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,1,6,L Ronchi,P Kumar,ST Jayasuriya,0,0,0,0,0,0,-,-,,0
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,2,1,ST Jayasuriya,Z Khan,L Ronchi,1,0,0,0,0,0,-,-,,1
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,2,2,L Ronchi,Z Khan,ST Jayasuriya,0,0,0,0,0,0,-,-,,0
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,2,3,L Ronchi,Z Khan,ST Jayasuriya,0,0,0,0,0,0,-,-,,0
5,2007/08,Mumbai,Wankhede Stadium,male,"SJ Davis,DJ Harper",Royal Challengers Bangalore,MV Boucher,T20,Mumbai Indians,bat,"Mumbai Indians,Royal Challengers Bangalore",Mumbai Indians,2,4,L Ronchi,Z Khan,ST Jayasuriya,0,0,0,0,0,0,-,-,,0
