match_number,season,city,venue,gender,match_type,toss_winner,toss_decision,teams,team,over,ballno,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,legbyes,wides,noballs,byes
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,1,1,AC Gilchrist,AB Dinda,Y Venugopal Rao,1,0,1,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,1,2,Y Venugopal Rao,AB Dinda,AC Gilchrist,0,1,1,0,0,1,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,1,3,Y Venugopal Rao,AB Dinda,AC Gilchrist,2,0,2,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,1,4,Y Venugopal Rao,AB Dinda,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,1,5,Y Venugopal Rao,AB Dinda,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,1,6,Y Venugopal Rao,AB Dinda,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,2,7,Y Venugopal Rao,AB Dinda,AC Gilchrist,5,0,5,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,2,8,Y Venugopal Rao,I Sharma,AC Gilchrist,0,1,1,1,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,2,9,AC Gilchrist,I Sharma,Y Venugopal Rao,1,0,1,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,2,10,Y Venugopal Rao,I Sharma,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,2,11,Y Venugopal Rao,I Sharma,AC Gilchrist,1,0,1,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,2,12,AC Gilchrist,I Sharma,Y Venugopal Rao,0,1,1,0,1,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,3,13,AC Gilchrist,I Sharma,Y Venugopal Rao,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,3,14,AC Gilchrist,I Sharma,Y Venugopal Rao,0,1,1,0,1,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,3,15,AC Gilchrist,I Sharma,Y Venugopal Rao,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,3,16,Y Venugopal Rao,AB Dinda,AC Gilchrist,1,0,1,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,3,17,AC Gilchrist,AB Dinda,Y Venugopal Rao,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,3,18,AC Gilchrist,AB Dinda,Y Venugopal Rao,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,4,19,AC Gilchrist,AB Dinda,Y Venugopal Rao,1,0,1,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,4,20,Y Venugopal Rao,AB Dinda,AC Gilchrist,4,0,4,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,4,21,Y Venugopal Rao,AB Dinda,AC Gilchrist,1,0,1,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,4,22,Y Venugopal Rao,I Sharma,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,4,23,Y Venugopal Rao,I Sharma,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,4,24,VVS Laxman,I Sharma,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,5,25,VVS Laxman,I Sharma,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,5,26,VVS Laxman,I Sharma,AC Gilchrist,0,0,0,0,0,0,0
4,2007/08,Kolkata,Eden Gardens,male,T20,Deccan Chargers,bat,"Kolkata Knight Riders,Deccan Chargers",Deccan Chargers,5,27,VVS Laxman,I Sharma,AC Gilchrist,0,0,0,0,0,0,0
