match_number,season,city,venue,gender,match_type,toss_winner,toss_decision,teams,team,over,ballno,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,legbyes,wides,noballs,byes
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,1,1,K Goel,MM Patel,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,1,2,K Goel,MM Patel,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,1,3,K Goel,MM Patel,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,1,4,K Goel,MM Patel,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,1,5,K Goel,MM Patel,JR Hopes,1,0,1,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,1,6,JR Hopes,MM Patel,K Goel,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,2,7,K Goel,SR Watson,JR Hopes,4,0,4,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,2,8,K Goel,SR Watson,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,2,9,K Goel,SR Watson,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,2,10,K Goel,SR Watson,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,2,11,K Goel,SR Watson,JR Hopes,1,0,1,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,2,12,JR Hopes,SR Watson,K Goel,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,3,13,K Goel,MM Patel,JR Hopes,4,0,4,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,3,14,K Goel,MM Patel,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,3,15,K Goel,MM Patel,JR Hopes,0,0,0,0,0,0,0
6,2007/08,Jaipur,Sawai Mansingh Stadium,male,T20,Kings XI Punjab,bat,"Rajasthan Royals,Kings XI Punjab",Kings XI Punjab,3,16,K Goel,MM Patel,JR Hopes,6,0,6,0,0,0,0
