match_number,season,city,venue,gender,umpires,winner,player_of_match,match_type,toss_winner,toss_decision,teams,team,over,ballno,batter,bowler,non_striker,runs_batter,runs_extras,legbyes,wides,noballs,byes,kind,player_out,fielders,runs_total
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,1,1,T Kohli,GD McGrath,YK Pathan,0,0,0,0,0,0,-,-,,0
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,1,2,T Kohli,GD McGrath,YK Pathan,0,0,0,0,0,0,-,-,,0
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,1,3,T Kohli,GD McGrath,YK Pathan,0,0,0,0,0,0,-,-,,0
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,1,4,T Kohli,GD McGrath,YK Pathan,0,1,0,1,0,0,-,-,,1
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,1,5,T Kohli,GD McGrath,YK Pathan,0,0,0,0,0,0,-,-,,0
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,1,6,T Kohli,GD McGrath,YK Pathan,0,0,0,0,0,0,-,-,,0
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,2,1,T Kohli,GD McGrath,YK Pathan,6,0,0,0,0,0,-,-,,6
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,2,2,YK Pathan,B Geeves,T Kohli,1,0,0,0,0,0,-,-,,1
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,2,3,T Kohli,B Geeves,YK Pathan,0,0,0,0,0,0,-,-,,0
3,2007/08,Delhi,Feroz Shah Kotla,male,"Aleem Dar,GA Pratapkumar",Delhi Daredevils,MF Maharoof,T20,Rajasthan Royals,bat,"Delhi Daredevils,Rajasthan Royals",Rajasthan Royals,2,4,T Kohli,B Geeves,YK Pathan,0,0,0,0,0,0,-,-,,0
